CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ocupações em geral e Tipo de Estabelecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Jan/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações em geral;ACADEMIA DA SAÚDE;CENTRAL DE REGUALAÇÃO;CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS;CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF;CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA;CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS;CENTRO DE PARTO NORMAL;CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE;CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA;CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO;CONSULTORIO;COOPERATIVA;FARMACIA;HOSPITAL ESPECIALIZADO;HOSPITAL GERAL;HOSPITAL DIA;LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN;LABORATORIO DE SAUDE PUBLICA;POLICLINICA;OFICINA ORTOPEDICA;POSTO DE SAUDE;PRONTO ANTEDIMENTO;PRONTO SOCORRO ESPECIALIZADO;PRONTO SOCORRO GERAL;SECRETARIA DE SAUDE;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA;UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA;UNIDADE DE VIGILANCIA EM SAUDE;UNIDADE MISTA;UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;TELESAÚDE;Total
PESSOAL DE SAÚDE - NÍVEL SUPERIOR;706;2439;1892;4713;1968;20512;98;176487;820;126903;120401;8497;4346;58718;386321;5167;239;874;42881;14;11154;31340;3984;7844;18763;2310;1992;124;27222;5041;6359;6403;107;1232;170;1088041
ANESTESISTA;-;5;-;-;2;-;-;5;21;261;225;1435;-;1783;10149;212;-;-;70;-;1;1;109;32;14;4;-;-;55;1;34;6;-;2;-;14427
Médico Anestesiologista;-;5;-;-;2;-;-;5;21;261;225;1435;-;1783;10149;212;-;-;70;-;1;1;109;32;14;4;-;-;55;1;34;6;-;2;-;14427
 ASSISTENTE SOCIAL;38;275;8;698;210;3384;1;7101;49;4527;455;16;26;2256;8176;147;1;16;1181;1;280;1288;141;218;1371;73;99;35;366;84;211;3;4;22;3;32764
Assistente Social;38;275;8;698;210;3384;1;7101;49;4527;455;16;26;2256;8176;147;1;16;1181;1;280;1288;141;218;1371;73;99;35;366;84;211;3;4;22;3;32764
 BIOQUÍMICO/FARMACÊUTICO;1;25;41;225;168;742;1;5986;29;1387;171;24;4203;1944;10998;205;29;115;794;-;203;1266;115;213;2017;91;95;1;1241;362;206;34;3;13;3;32951
Farmacêutico;1;25;41;225;168;742;1;5986;29;1387;171;24;4203;1944;10998;205;29;115;794;-;203;1266;115;213;2017;91;95;1;1241;362;206;34;3;13;3;32951
 CIRURGIÃO GERAL;-;21;24;-;-;-;-;26;30;348;356;288;-;589;7338;74;-;-;240;-;2;124;74;99;12;13;1;-;41;1;28;9;-;1;-;9739
Médico Cirurgião Geral;-;21;24;-;-;-;-;26;30;348;356;288;-;589;7338;74;-;-;240;-;2;124;74;99;12;13;1;-;41;1;28;9;-;1;-;9739
 CLÍNICO GERAL;-;884;1283;20;215;605;6;10254;61;4995;5890;1515;29;3115;57584;303;1;7;4602;-;591;11605;722;2467;1077;227;184;5;798;71;1600;1818;9;149;25;112717
Médico Clínico;-;878;1270;20;214;602;6;9664;61;4955;5859;1497;29;3106;57108;297;1;7;4578;-;571;11555;722;2451;1054;217;174;5;781;70;1599;1812;9;146;25;111343
Médico Generalista Alopata;-;6;13;-;1;3;-;590;-;40;31;18;-;9;476;6;-;-;24;-;20;50;-;16;23;10;10;-;17;1;1;6;-;3;-;1374
 ENFERMEIRO;36;656;499;85;639;4855;85;53941;258;9387;1238;1392;34;17705;115744;1017;8;18;4788;2;4382;11578;1327;2682;8029;942;1105;12;1783;1616;2462;4436;40;302;47;253130
Outros enfermeiros;-;-;-;-;-;-;-;-;-;2;-;46;-;57;265;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;370
Enfermeiro;33;608;498;76;620;4769;13;15394;227;8581;1106;1129;33;16200;109724;989;6;18;4591;2;1225;11539;1283;2659;7254;927;1104;12;1696;1465;2338;4422;9;294;39;200883
Enfermeiro Estomaterapeuta;-;-;-;-;-;-;-;2;-;13;3;1;-;-;13;1;-;-;7;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;42
Enfermeiro auditor;-;40;1;-;-;-;-;4;4;19;4;4;-;76;626;4;-;-;26;-;-;3;1;2;195;11;-;-;6;-;1;-;-;1;-;1028
Enfermeiro da estratégia de saúde da família;-;3;-;4;1;20;-;38447;-;17;-;-;-;3;25;-;-;-;29;-;3147;18;-;3;292;-;-;-;3;14;56;3;31;1;3;42120
Enfermeiro de bordo;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;9
